z(mm),ai0,ai1,ai2
-20,2.5472,2.4073,0.076024
-19.6,2.5443,2.4066,0.076248
-19.2,2.5034,2.3685,0.0742
-18.8,2.5285,2.3912,0.07518
-18.4,2.5325,2.3954,0.075957
-18,2.5333,2.3932,0.07597
-17.6,2.4971,2.3566,0.075449
-17.2,2.5367,2.3967,0.077613
-16.8,2.5495,2.4123,0.076084
-16.4,2.5427,2.4014,0.07527
-16,2.4882,2.3543,0.073062
-15.6,2.5279,2.3942,0.07545
-15.2,2.5408,2.4025,0.074912
-14.8,2.5062,2.3706,0.074007
-14.4,2.5482,2.4112,0.076277
-14,2.5509,2.4102,0.07579
-13.6,2.5374,2.3972,0.075
-13.2,2.5142,2.3688,0.075367
-12.8,2.5419,2.397,0.075335
-12.4,2.5015,2.3578,0.074514
-12,2.5527,2.411,0.076192
-11.6,2.5125,2.369,0.075145
-11.2,2.5161,2.374,0.074809
-10.8,2.5075,2.3693,0.074437
-10.4,2.5362,2.3981,0.076082
-10,2.5274,2.3851,0.075307
-9.6,2.5203,2.38,0.07466
-9.2,2.5252,2.3848,0.075443
-8.8,2.5199,2.3801,0.07615
-8.4,2.4866,2.3451,0.073624
-8,2.5219,2.3792,0.074261
-7.6,2.5246,2.3779,0.07547
-7.2,2.5387,2.392,0.075589
-6.8,2.5472,2.3967,0.075852
-6.4,2.5655,2.4129,0.075798
-6,2.534,2.3868,0.075667
-5.6,2.5502,2.3977,0.076288
-5.2,2.5485,2.3936,0.075367
-4.8,2.5339,2.3755,0.07544
-4.4,2.5404,2.377,0.075376
-4,2.5347,2.3679,0.074566
-3.6,2.5471,2.3706,0.075025
-3.2,2.5364,2.3494,0.073944
-2.8,2.5403,2.3393,0.073881
-2.4,2.509,2.2928,0.073364
-2,2.5322,2.2876,0.072147
-1.6,2.5335,2.2446,0.070412
-1.2,2.5243,2.1882,0.06895
-0.8,2.5374,2.1732,0.06844
-0.4,2.5331,2.1948,0.068983
0,2.5441,2.2511,0.070914
0.4,2.5495,2.2975,0.071676
0.8,2.5438,2.3242,0.073513
1.2,2.5337,2.3373,0.074045
1.6,2.5388,2.3544,0.07456
2,2.5399,2.3639,0.07551
2.4,2.5512,2.3815,0.075457
2.8,2.5407,2.3775,0.075162
3.2,2.5343,2.3774,0.074525
3.6,2.5273,2.3738,0.075043
4,2.5424,2.3923,0.076304
4.4,2.5411,2.3928,0.075478
4.8,2.5462,2.3986,0.076698
5.2,2.5253,2.3767,0.074683
5.6,2.538,2.3912,0.076583
6,2.5037,2.3593,0.073106
6.4,2.5057,2.3653,0.072468
6.8,2.5268,2.3811,0.075188
7.2,2.505,2.3626,0.074254
7.6,2.5255,2.3803,0.075171
8,2.5277,2.3838,0.075925
8.4,2.5599,2.4194,0.076506
8.8,2.523,2.3837,0.075832
9.2,2.5412,2.3995,0.075386
9.6,2.5589,2.4177,0.07637
10,2.5309,2.3926,0.074273
10.4,2.5238,2.3817,0.07557
10.8,2.5066,2.3669,0.074171
11.2,2.5277,2.3885,0.07523
11.6,2.5226,2.3833,0.074359
12,2.5044,2.3658,0.073514
12.4,2.5249,2.3876,0.075812
12.8,2.5117,2.3759,0.074471
13.2,2.5448,2.4063,0.076804
13.6,2.5216,2.3838,0.075845
14,2.521,2.3835,0.074612
14.4,2.5135,2.3759,0.074417
14.8,2.4963,2.3604,0.073225
15.2,2.5074,2.3714,0.074446
15.6,2.5207,2.3808,0.074311
16,2.5409,2.3993,0.079859
16.4,2.5199,2.3795,0.074101
16.8,2.5148,2.372,0.075003
17.2,2.5406,2.4005,0.07585
17.6,2.5155,2.3767,0.074252
18,2.5174,2.3801,0.075727
18.4,2.523,2.3869,0.075251
18.8,2.5257,2.3858,0.074724
19.2,2.5258,2.3878,0.075829
19.6,2.5214,2.3825,0.07445
20,2.5187,2.3797,0.075108
